session_id,session,src_ip,session_start,session_end,event_count,unique_commands,session_duration,failed_logins,successful_login,unique_usernames,high_event_activity,long_session,credential_guessing,command_heavy,behavioral_risk_score,event_count_norm,unique_commands_norm,session_duration_norm,behavior_cluster,behavior_label,risk_score,is_anomaly,dbscan_label,cluster_stability,attacker_type,threat_archetype,confidence_level,ip_scope,risk_level,country,country_iso,city,latitude,longitude,asn,asn_org,campaign_key,campaign_total_sessions,campaign_severity,ml_risk_score,ml_risk_label,ml_accuracy,ml_precision,ml_recall,geo_visualization,soc_relevance,pca_x,pca_y
SESS-23486,f21c40f8f17c,61.74.200.100,12-02-2026 16:28,12-02-2026 16:28,12,6,0.280569,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.17619419,3,High Risk,2.254483921,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.163612588,-1.551461895
SESS-30386,76bb9ff1558a,202.38.200.100,26-12-2025 17:40,26-12-2025 17:40,31,0,0.82719,27,0,23,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.6220162,2,Medium Risk,2.253852134,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,China,CN,Guangzhou,23.1513,113.345,AS4538,China Education and Research Network Center,CN_AS4538,44,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.472115817,2.599025147
SESS-32359,251a4edfae62,172.20.10.3,09-02-2026 06:45,09-02-2026 06:45,13,6,0.226111,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.059177491,1.222958442,-0.45497042,3,High Risk,2.252222452,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,private,high,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,1.08859009,-1.617095454
SESS-23631,d0c620b3c133,192.168.2.5,27-01-2026 08:56,27-01-2026 08:56,33,0,0.720801,29,0,22,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,2.0774,2,Medium Risk,2.251916443,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.328801793,2.473527453
SESS-30084,344d3b834ba5,203.110.200.50,30-01-2026 07:18,30-01-2026 07:18,12,6,0.27763,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.19123918,3,High Risk,2.251474923,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.155784237,-1.558171932
SESS-31910,42b7bd277466,42.236.10.75,31-12-2025 12:59,31-12-2025 12:59,12,6,0.276493,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.19705954,3,High Risk,2.250310851,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.152755728,-1.560767806
SESS-31850,03440dd289df,192.168.1.50,20-01-2026 21:43,20-01-2026 21:43,32,0,0.771167,28,0,20,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.3352287,2,Medium Risk,2.249988409,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.392924724,2.529818494
SESS-31888,c709c96b455e,188.40.50.11,17-01-2026 21:36,17-01-2026 21:36,12,6,0.27546,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.2023476,3,High Risk,2.249253238,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.150004184,-1.56312628
SESS-26438,9b4cda7b14a9,192.168.254.1,11-01-2026 15:55,11-01-2026 15:55,31,0,0.822608,27,0,22,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.5985608,2,Medium Risk,2.249161057,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.459911128,2.58856395
SESS-28632,30829c283249,194.165.16.200,12-01-2026 14:52,12-01-2026 14:52,32,0,0.770255,28,0,24,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.3305604,2,Medium Risk,2.249054762,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.39049563,2.527736407
SESS-32987,c589b350453c,103.87.56.100,30-01-2026 19:54,30-01-2026 19:54,33,0,0.717979,29,0,21,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,2.062954,2,Medium Risk,2.249027239,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.321285097,2.467084549
SESS-28312,4b85ddb2a090,91.108.4.17,29-12-2025 23:34,29-12-2025 23:34,32,0,0.770012,28,0,23,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.3293164,2,Medium Risk,2.248805948,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.389848348,2.527181592
SESS-26900,c99cc6b3664e,139.59.200.100,05-01-2026 11:20,05-01-2026 11:20,31,0,0.822162,27,0,22,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.5962772,2,Medium Risk,2.248704343,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.458723095,2.587545632
SESS-27088,c1950dc36af0,192.168.100.100,12-02-2026 18:14,12-02-2026 18:14,12,6,0.27492,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.20511203,3,High Risk,2.248700354,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,private,high,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,1.148565779,-1.564359202
SESS-27958,70ed58178180,128.199.55.204,16-02-2026 21:23,16-02-2026 21:23,32,0,0.769734,28,0,20,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.3278933,2,Medium Risk,2.248521324,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,Netherlands,NL,Amsterdam,52.352,4.9392,AS14061,"DigitalOcean, LLC",NL_AS14061,45,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.389107871,2.526546895
SESS-27907,6de8e2f53be0,192.168.1.10,16-02-2026 12:42,16-02-2026 12:42,31,0,0.821921,27,0,21,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.5950441,2,Medium Risk,2.248457723,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.458081211,2.586995444
SESS-28379,846f5da3cfae,192.168.190.141,13-02-2026 09:55,13-02-2026 09:55,31,0,0.821897,27,0,23,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.5949209,2,Medium Risk,2.24843307,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.458017228,2.586940602
SESS-32502,c0472618f0a5,37.120.141.200,14-02-2026 10:06,14-02-2026 10:06,33,0,0.716268,29,0,19,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,2.0541952,2,Medium Risk,2.247275483,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.316727608,2.463178117
SESS-31109,894381e8adc2,89.44.200.50,18-01-2026 01:16,18-01-2026 01:16,13,6,0.220696,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.059177491,1.222958442,-0.48269033,3,High Risk,2.246678469,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.07416659,-1.629458495
SESS-31231,15418e7a490c,138.117.120.100,25-01-2026 12:44,25-01-2026 12:44,12,6,0.272853,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.2156932,3,High Risk,2.246584118,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.143060071,-1.569078397
SESS-30343,e6633501d603,159.65.235.200,01-01-2026 21:22,01-01-2026 21:22,12,6,0.271433,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.22296229,3,High Risk,2.245130301,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,United States,US,North Bergen,40.7964,-74.0203,AS14061,"DigitalOcean, LLC",US_AS14061,94,high,0.96,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.139277749,-1.572320397
SESS-25472,e0b850595d47,153.242.200.50,14-02-2026 13:57,14-02-2026 13:57,32,0,0.766079,28,0,20,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.309183,2,Medium Risk,2.244779249,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.379372284,2.518202079
SESS-27371,fd0b0a0513e2,117.218.200.50,27-01-2026 15:57,27-01-2026 15:57,12,6,0.270097,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.22980146,3,High Risk,2.243762467,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.135719126,-1.575370655
SESS-26283,30e881e5e6a5,45.179.220.100,30-12-2025 22:06,30-12-2025 22:06,12,6,0.269661,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.23203328,3,High Risk,2.243316103,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.134557844,-1.576366043
SESS-26204,214080d3063c,192.168.190.141,06-02-2026 06:28,06-02-2026 06:28,32,0,0.764194,28,0,23,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.2995334,2,Medium Risk,2.242849346,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.374351363,2.513898418
SESS-27420,a0e1d0341b07,128.199.200.50,13-02-2026 08:37,13-02-2026 08:37,30,0,0.868473,26,0,18,TRUE,FALSE,TRUE,FALSE,1,2.214308035,-0.699226986,2.8333483,2,Medium Risk,2.242624773,TRUE,-1,0.9878,Manual Attacker,Interactive Exploration,High,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.51204513,2.634578733
SESS-29919,f756aa8be1fe,192.168.1.200,24-01-2026 21:55,24-01-2026 21:55,31,0,0.816035,27,0,21,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.5649126,2,Medium Risk,2.242431407,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.442403075,2.573556998
SESS-24199,fec739c2ed98,50.116.10.36,18-01-2026 16:01,18-01-2026 16:01,34,0,0.659257,30,0,23,TRUE,FALSE,TRUE,FALSE,1,2.749245806,-0.699226986,1.7623497,2,Medium Risk,2.242400172,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.234904837,2.391715734
SESS-27953,11022fa7c89a,18.139.200.50,12-02-2026 21:16,12-02-2026 21:16,13,6,0.216415,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.059177491,1.222958442,-0.50460523,3,High Risk,2.242295489,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.06276362,-1.639232501
SESS-27171,26faafa805e7,82.102.16.99,21-01-2026 08:32,21-01-2026 08:32,31,0,0.815551,27,0,21,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.562435,2,Medium Risk,2.241935878,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,Germany,DE,Frankfurt am Main,50.1155,8.68417,AS9009,M247 Europe SRL,DE_AS9009,45,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.441113909,2.572451995
SESS-26683,a42736c0d12d,172.16.254.1,01-01-2026 08:38,01-01-2026 08:38,33,0,0.710881,29,0,23,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,2.0266185,2,Medium Risk,2.241760146,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.302378648,2.450878968
SESS-27769,223a7716043d,23.94.244.7,20-01-2026 12:39,20-01-2026 12:39,12,6,0.268116,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.23994236,3,High Risk,2.241734288,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.130442515,-1.57989348
SESS-24703,09222c3239a5,192.168.1.150,13-01-2026 07:33,13-01-2026 07:33,33,0,0.710378,29,0,23,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,2.0240436,2,Medium Risk,2.241245162,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.301038836,2.449730554
SESS-28022,8800b889dc54,122.15.200.100,12-01-2026 14:00,12-01-2026 14:00,31,0,0.813181,27,0,20,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.550303,2,Medium Risk,2.239509492,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.434801122,2.567041017
SESS-27606,28a4510ad2c9,177.93.106.120,02-01-2026 08:51,02-01-2026 08:51,31,0,0.812325,27,0,22,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.545921,2,Medium Risk,2.238633113,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.432521108,2.565086712
SESS-23896,cac16f87d6a7,1.209.145.200,25-01-2026 07:47,25-01-2026 07:47,33,0,0.707772,29,0,24,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,2.0107033,2,Medium Risk,2.238577115,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.294097501,2.443780819
SESS-30305,012a36b548bc,106.12.98.14,14-01-2026 17:12,14-01-2026 17:12,12,6,0.264681,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.25752643,3,High Risk,2.238217474,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.121293006,-1.587735942
SESS-27146,3b8500e324ca,206.81.23.36,20-12-2025 09:23,20-12-2025 09:23,12,6,0.264343,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.25925678,3,High Risk,2.237871403,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.120392654,-1.588507675
SESS-31051,35c0dc4a9e02,213.87.131.19,02-01-2026 20:29,02-01-2026 20:29,33,0,0.706756,29,0,21,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,2.0055022,2,Medium Risk,2.237536894,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.291391205,2.441461128
SESS-29341,02894473084d,192.168.1.50,15-01-2026 22:09,15-01-2026 22:09,31,0,0.811092,27,0,22,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.5396092,2,Medium Risk,2.237370734,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.429236909,2.562271676
SESS-24118,2ac211912d15,175.177.200.100,10-02-2026 18:32,10-02-2026 18:32,32,0,0.75882,28,0,22,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.2720232,2,Medium Risk,2.237347313,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.360037013,2.501628935
SESS-30455,fb9d907b35ee,192.168.190.140,01-01-2026 01:21,01-01-2026 01:21,32,0,0.758636,28,0,20,TRUE,FALSE,TRUE,FALSE,1,2.48177692,-0.699226986,2.2710814,2,Medium Risk,2.237158962,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.359546908,2.501208843
SESS-27937,f2cfe492f72e,185.220.101.4,11-02-2026 15:47,11-02-2026 15:47,12,6,0.262249,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.26997617,3,High Risk,2.235727525,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.114815025,-1.593288515
SESS-23617,e1626406225b,10.10.10.10,06-01-2026 21:18,06-01-2026 21:18,12,6,0.262189,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.27028328,3,High Risk,2.235666103,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,private,high,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,0.99,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,1.114655229,-1.593425484
SESS-23344,9816100baa6a,159.65.235.200,18-01-2026 15:15,18-01-2026 15:15,31,0,0.809198,27,0,23,TRUE,FALSE,TRUE,FALSE,1,2.348042478,-0.699226986,2.5299137,2,Medium Risk,2.235431628,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,public,low,United States,US,North Bergen,40.7964,-74.0203,AS14061,"DigitalOcean, LLC",US_AS14061,94,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,2.424192014,2.557947466
SESS-29050,240671cda87d,10.0.0.12,12-01-2026 13:18,12-01-2026 13:18,33,0,0.704217,29,0,21,TRUE,FALSE,TRUE,FALSE,1,2.615511363,-0.699226986,1.9925048,2,Medium Risk,2.234937417,FALSE,1,0.9878,Manual Attacker,Interactive Exploration,High,private,low,Internal,INT,Internal,,,unknown,unknown,INT_unknown,3384,high,1,High Risk,0.9993,0.9996,0.999,disabled,behavioral_intelligence,2.284628321,2.435664352
SESS-30431,9de543415fbd,45.179.220.100,27-01-2026 00:34,27-01-2026 00:34,12,6,0.26131,0,1,1,TRUE,FALSE,FALSE,TRUE,2,-0.192911934,1.222958442,-0.27478293,3,High Risk,2.234766174,FALSE,1,0.9878,Scanner,Wide Network Scan,Medium,public,high,unknown,unknown,unknown,,,unknown,unknown,unknown_unknown,5827,high,1,High Risk,0.9993,0.9996,0.999,enabled,behavioral_intelligence,1.112313932,-1.595432317
